id,gloss,pos,official,predicted,norm_edit,branch_cov,n_langs
5372,coil around,verb,obmotyvati,obmatyvati,0.100,1,24
151,"renew, refurbish",verb,obnavjati,obnavljati,0.100,2,17
35428,"generalisation, generalization",noun,obobćeńje,obobščenje,0.100,1,16
3067,"highlight, light up",verb,obsvětliti,osvetliti,0.100,2,10
4504,"accusation, blame",noun,obvinjeńje,obvinenje,0.100,2,17
35230,expectation,noun,očekyvańje,očekivanje,0.100,3,15
6283,"read (e.g. meters, temperature)",verb,odčityvati,odčitavati,0.100,2,23
29087,dissuade,verb,odgovoriti,otgovoriti,0.100,1,20
9955,responsible,adj,odgovorny,odgovorany,0.100,1,13
19954,"decline (proposal), reject, dismiss (proposal)",verb,odklanjati,otklanjati,0.100,2,22
10011,"approval, approbation",noun,odobrjeńje,odobrenje,0.100,2,19
3295,"rest, relax",verb,odpočivati,otpočivati,0.100,3,14
5556,"sever, cut off",verb,odrězyvati,odrezivati,0.100,2,14
4372,"scare off, frighten away",verb,odstrašiti,odsrašiti,0.100,1,24
36386,untie (sth./sbd. from sth.),verb,odvęzyvati,odvezivati,0.100,2,13
19988,limited,adj,ograničeny,ograničny,0.100,3,15
10231,"mourn, grieve, cry over, lament over",verb,oplakyvati,oplakivati,0.100,3,9
18141,"fertilisation, fertilization, insemination",noun,oplođeńje,oplodnenje,0.100,2,17
35414,entitled,adj,opravnjeny,opravneny,0.100,1,15
33472,"defile, debase, taint, desecrate",verb,oskvŕniti,oskverniti,0.100,2,28
10290,weakening,noun,oslabjeńje,oslabenje,0.100,1,19
29638,"blinding, dazzlement",noun,oslěpjeńje,oslepenje,0.100,1,13
505,"leave, leave behind, abandon",verb,ostavjati,ostavljati,0.100,2,18
10330,abandonment,noun,ostavjeńje,ostavlenje,0.100,2,19
3201,left,adj,ostavjeny,ostavljeny,0.100,2,18
22491,"master, gain proficiency in",verb,ovladyvati,ovladavati,0.100,2,21
10401,cure,verb,ozdravjati,ozdravlati,0.100,1,22
36819,"health resort, sanatorium",noun,ozdråvnica,zdravnica,0.100,1,30
4318,perversion,noun,perversija,perverzija,0.100,2,16
35729,brewery,noun,pivovarnja,pivovarna,0.100,2,17
14842,niece,noun,plemenica,plemennica,0.100,2,18
5575,thank,verb,podękovati,podakovati,0.100,2,9
6221,subconscous,adj,podsvědomy,podvědomy,0.100,1,12
10818,"appearance, emergence",noun,pojavjeńje,pojavlenje,0.100,2,23
1108,show,verb,pokazyvati,pokazivati,0.100,2,11
2431,generation,noun,pokoljeńje,pokolenje,0.100,3,16
18297,christen,verb,pokrestiti,pokrstiti,0.100,3,15
18311,"crawl, creep",verb,popȯlzati,popolezati,0.100,2,14
18317,injury,noun,poranjeńje,poranenje,0.100,2,27
21741,"continuously, steadily, constantly, permanently",adv,postojanno,postojano,0.100,2,28
35580,testify,verb,posvědčiti,dosvedčiti,0.100,1,15
5628,"occasionally, from time to time",adv,povrěmenno,povremeno,0.100,1,26
11175,justice,noun,pravosųďje,pravosudie,0.100,2,17
22231,"omen, portent",noun,prědvěsťje,prědvestie,0.100,2,28
31908,"outsmart, outfox",verb,prěhytriti,prehitriti,0.100,1,19
11349,migrant,noun,prěselenec,preslenec,0.100,1,21
11353,migrate,verb,prěseljati,preselati,0.100,1,12
2364,suffer,verb,prětŕpěti,pretrpieti,0.100,3,14
4229,assignment,noun,pridělańje,pridelenje,0.100,2,21
35686,swear (oath),verb,prisęgnųti,prisagnuti,0.100,2,17
11502,presence,noun,prisųtstvo,prisustvo,0.100,1,14
351,"accustom, inure",verb,privyknųti,priviknuti,0.100,2,20
5326,manifest,verb,projavjati,projavlati,0.100,1,17
2315,industrialist,noun,promysľnik,prumyslnik,0.100,2,19
4456,pervasion,noun,pronikańje,prenikanje,0.100,1,14
35552,"pervading, insightful, perceptive",adj,proniklivy,praniklivy,0.100,3,22
36453,"uncultured, uncivilized, boorish",adj,prostačsky,prostačky,0.100,3,26
5784,#enlighten,verb,prosvětiti,prosvititi,0.100,2,17
20670,"even, uniform, steady, equable",adj,råvnoměrny,rovnomerny,0.100,3,19
30187,rake aside,verb,råzgrabiti,råzgrabati,0.100,2,12
30203,#crack,verb,råzgryzati,råzgrizati,0.100,3,16
21507,"tell, narrate, relate, recount",verb,råzkazati,råzskazati,0.100,1,24
30290,"parting, separation",noun,råzlųčeńje,råzlučenne,0.100,2,26
30309,measure off,verb,råzměrjati,råzmerati,0.100,1,15
30358,"destruction, devastation, demolition, ruination",noun,råzorjeńje,razorenje,0.100,2,30
23009,disarm,verb,råzorųžiti,razoružati,0.100,2,12
30453,unsaddle,verb,råzsedlati,rasedlati,0.100,2,10
4166,reason,verb,råzumovati,rozumovati,0.100,2,22
20690,edit,verb,redagovati,redigovati,0.100,2,15
2197,referendum,noun,referendum,refrendum,0.100,3,12
4074,"revise, audit",verb,revidovati,revizovati,0.100,1,22
18774,"pride, self-assessment",noun,samoocěna,samoocenka,0.100,1,15
21557,"wilful, unauthorized, wayward",adj,samovoljny,samovolny,0.100,3,20
2052,seventy,num,sedmdesęt,sedamdeset,0.100,2,11
30679,serpentine,noun,serpentin,serpentina,0.100,3,12
15677,deform,verb,snetvoriti,znetvoriti,0.100,1,16
